t,phi,theta,psi
22.02167869,2.093295145,1.570796327,-3.064123223
22.12140274,2.093295145,1.570796327,-3.064123223
22.22098446,2.093295145,1.570796327,-3.064123223
22.32064319,2.093295145,1.570796327,-3.064123223
22.42038417,2.093295145,1.570796327,-3.064123223
22.5199585,2.093295145,1.570796327,-3.064123223
22.61963058,2.093295145,1.570796327,-3.064123223
22.71937871,2.094024735,1.570796327,-3.063302427
22.81890059,2.094024735,1.570796327,-3.063302427
22.91856527,2.094024735,1.570796327,-3.063302427
23.01820207,2.094024735,1.570796327,-3.063302427
23.11786795,2.094024735,1.570796327,-3.063302427
23.21749234,2.094024735,1.570796327,-3.063302427
23.31714082,2.094024735,1.570796327,-3.063302427
23.41680336,2.094024735,1.570796327,-3.063302427
23.51653457,2.094024735,1.570796327,-3.063302427
23.61609888,2.094024735,1.570796327,-3.063302427
23.71577072,2.094024735,1.570796327,-3.063302427
23.81553555,2.094024735,1.570796327,-3.063302427
23.91505599,2.094024735,1.570796327,-3.063302427
24.01471186,2.094024735,1.570796327,-3.063302427
24.11432624,2.094024735,1.570796327,-3.063302427
24.21399999,2.094024735,1.570796327,-3.063302427
24.31367993,2.094024735,1.570796327,-3.063302427
24.41327977,2.094024735,1.570796327,-3.063302427
24.51294231,2.094024735,1.570796327,-3.063302427
24.61271453,2.094024735,1.570796327,-3.063302427
24.71223021,2.094024735,1.570796327,-3.063302427
24.81188869,2.094024735,1.570796327,-3.063302427
24.91168714,2.094024735,1.570796327,-3.063302427
25.01117635,2.094024735,1.570796327,-3.063302427
25.11081243,2.095442565,1.570796327,-3.063206199
25.21047759,2.095442565,1.570796327,-3.063206199
25.31010389,2.095442565,1.570796327,-3.063206199
25.40980554,2.095442565,1.570796327,-3.063206199
25.50938058,2.095442565,1.570796327,-3.063206199
25.60905123,2.095442565,1.570796327,-3.063206199
25.70883489,2.095442565,1.570796327,-3.063206199
25.80830979,2.095442565,1.570796327,-3.063206199
25.90793729,2.095442565,1.570796327,-3.063206199
26.0075748,2.095442565,1.570796327,-3.063206199
26.10720062,2.095442565,1.570796327,-3.063206199
26.20694828,2.095442565,1.570796327,-3.063206199
26.3065052,2.095442565,1.570796327,-3.063206199
26.40616584,2.095442565,1.570796327,-3.063206199
26.5059092,2.095442565,1.570796327,-3.063206199
26.60541844,2.095442565,1.570796327,-3.063206199
26.70505261,2.095442565,1.570796327,-3.063206199
26.80467987,2.095442565,1.570796327,-3.063206199
26.90433168,2.095442565,1.570796327,-3.063206199
27.00404,2.095442565,1.570796327,-3.063206199
27.10358334,2.095442565,1.570796327,-3.063206199
27.2032578,2.095442565,1.570796327,-3.063206199
27.30301189,2.095442565,1.570796327,-3.063206199
27.40252447,2.095442565,1.570796327,-3.063206199
27.50216842,2.095442565,1.570796327,-3.063206199
27.60180616,2.095442565,1.570796327,-3.063206199
27.70147014,2.095442565,1.570796327,-3.063206199
27.80114365,2.095442565,1.570796327,-3.063206199
27.90076256,2.095442565,1.570796327,-3.063206199
28.00037336,2.095442565,1.570796327,-3.063206199
28.10016155,2.095442565,1.570796327,-3.063206199
28.1996696,2.095442565,1.570796327,-3.063206199
28.29933882,2.095442565,1.570796327,-3.063206199
28.39916086,2.095442565,1.570796327,-3.063206199
28.49861026,2.095442565,1.570796327,-3.063206199
28.59831524,2.095442565,1.570796327,-3.063206199
28.6979022,2.095442565,1.570796327,-3.063206199
28.79753447,2.095442565,1.570796327,-3.063206199
28.89727306,2.095442565,1.570796327,-3.063206199
28.99685001,2.095442565,1.570796327,-3.063206199
29.09650731,2.095442565,1.570796327,-3.063206199
29.19627118,2.095442565,1.570796327,-3.063206199
29.29577279,2.095442565,1.570796327,-3.063206199
29.39542532,2.095442565,1.570796327,-3.063206199
29.49506712,2.095442565,1.570796327,-3.063206199
29.627424,2.095442565,1.570796327,-3.063206199
29.72734547,2.04222852,1.570796327,-3.065554509
29.82691693,1.997176374,1.570796327,-3.070075811
29.92665243,1.983278837,1.570796327,-3.073004155
30.02639723,1.978731223,1.570796327,-3.074603317
30.12586069,1.960371067,1.570796327,-3.080279663
30.22552633,1.944999649,1.570796327,-3.084748611
30.32514024,1.925714251,1.570796327,-3.090058419
30.42476892,1.890452289,1.570796327,-3.100616653
30.52450371,1.860220137,1.570796327,-3.108946082
30.62410665,1.844316068,1.570796327,-3.112636305
30.72377563,1.835836259,1.570796327,-3.114207925
30.82349491,1.824297832,1.570796327,-3.117101286
30.92307973,1.819096018,1.570796327,-3.118210561
31.02269125,1.808602954,1.570796327,-3.120785276
31.12233567,1.801596696,1.570796327,-3.122415179
31.22196293,1.796254948,1.570796327,-3.122992293
31.32162571,1.795243089,1.570796327,-3.122724828
31.42123866,1.791289241,1.570796327,-3.123377526
31.52084947,1.786336681,1.570796327,-3.124121196
31.62069511,1.780281377,1.570796327,-3.125296927
31.7201252,1.776950127,1.570796327,-3.125658484
31.81983209,1.778274454,1.570796327,-3.125284569
31.91940928,1.778986779,1.570796327,-3.124891015
32.01911712,1.774220423,1.570796327,-3.126341257
32.11877584,1.774394798,1.570796327,-3.126373644
32.21841693,1.774388752,1.570796327,-3.126712412
32.31804705,1.773432868,1.570796327,-3.12729567
32.41775417,1.773445934,1.570796327,-3.127857184
32.51738715,1.773194088,1.570796327,-3.128081922
32.61701846,1.772401836,1.570796327,-3.128601231
32.71676135,1.779678997,1.570796327,-3.128093423
32.81630325,1.776409004,1.570796327,-3.128640651
32.91593933,1.773667049,1.570796327,-3.129391383
33.01557112,1.770112273,1.570796327,-3.130329295
33.11521506,1.7676556,1.570796327,-3.130848196
33.21490669,1.766031768,1.570796327,-3.13107846
33.31460309,1.765838506,1.570796327,-3.131672094
33.41424084,1.765332516,1.570796327,-3.132273007
33.51391768,1.763316077,1.570796327,-3.133233836
33.61341953,1.762237864,1.570796327,-3.133758794
33.71322227,1.762303356,1.570796327,-3.133926527
33.81290793,1.761409228,1.570796327,-3.133609314
33.91250682,1.762563249,1.570796327,-3.133471228
34.01206017,1.762748985,1.570796327,-3.133639947
34.11167264,1.761486469,1.570796327,-3.134515278
34.21138525,1.758945465,1.570796327,-3.13483642
34.31110072,1.757135766,1.570796327,-3.134853927
34.41079044,1.753593706,1.570796327,-3.134658421
34.51033258,1.7511579,1.570796327,-3.134551904
34.6100688,1.750943497,1.570796327,-3.134538616
34.70961595,1.751121403,1.570796327,-3.134988729
34.80929375,1.750767972,1.570796327,-3.135246831
34.90906525,1.7507392,1.570796327,-3.13548222
35.0085125,1.753560231,1.570796327,-3.133729235
35.10814095,1.755651325,1.570796327,-3.133064623
35.20775652,1.75816929,1.570796327,-3.132355194
35.30744433,1.760068351,1.570796327,-3.132074406
35.40717626,1.762892759,1.570796327,-3.131580813
35.50678515,1.763554626,1.570796327,-3.131961365
35.6064477,1.764706438,1.570796327,-3.131608707
35.70621443,1.761681867,1.570796327,-3.1314475
35.8056972,1.766677038,1.570796327,-3.131563996
35.90538788,1.765533411,1.570796327,-3.130926778
36.00501084,1.76344708,1.570796327,-3.130977945
36.10461426,1.761803485,1.570796327,-3.130951789
36.20439649,1.763027124,1.570796327,-3.130527206
